Datetime,Open,High,Low,Close,Volume
2023-08-21 15:00:00,1674.02,1675.2,1668.33,1669.23,529.92835
2023-08-21 15:15:00,1669.23,1669.39,1648.79,1652.07,7293.67049
2023-08-21 15:30:00,1652.07,1661.26,1650.89,1658.18,1747.07718
2023-08-21 15:45:00,1658.18,1660.74,1656.34,1657.81,598.17534
2023-08-21 16:00:00,1657.81,1659.79,1657.11,1657.21,726.90791
2023-08-21 16:15:00,1657.21,1664.7,1657.05,1661.57,685.76753
2023-08-21 16:30:00,1661.57,1661.6,1659.01,1659.12,199.85774
2023-08-21 16:45:00,1659.12,1662.94,1658.32,1660.67,317.85609
2023-08-21 17:00:00,1660.67,1662.4,1659.48,1660.28,278.18056
2023-08-21 17:15:00,1660.28,1664.4,1659.47,1664.03,358.97914
2023-08-21 17:30:00,1664.03,1665.37,1662.72,1665.36,477.30137
2023-08-21 17:45:00,1665.36,1665.99,1664.21,1665.2,320.1989
2023-08-21 18:00:00,1665.2,1667.11,1664.07,1666.85,277.67794
2023-08-21 18:15:00,1666.85,1667.12,1664.7,1666.15,230.32664
2023-08-21 18:30:00,1666.15,1666.15,1664.67,1666.01,131.85951
2023-08-21 18:45:00,1666.01,1669.27,1664.43,1665.01,342.83598
2023-08-21 19:00:00,1665.01,1668.73,1665.01,1667.66,184.69235
2023-08-21 19:15:00,1667.66,1669.48,1663.8,1666.28,932.22855
2023-08-21 19:30:00,1666.28,1675.18,1666.28,1671.84,918.941
2023-08-21 19:45:00,1671.84,1675.0,1671.44,1672.39,754.69499
2023-08-21 20:00:00,1672.39,1676.99,1672.2,1672.21,918.66744
2023-08-21 20:15:00,1672.21,1674.0,1672.21,1673.19,312.16433
2023-08-21 20:30:00,1673.19,1675.4,1671.65,1671.75,416.91515
2023-08-21 20:45:00,1671.75,1672.8,1671.66,1672.25,88.14896
2023-08-21 21:00:00,1672.25,1673.4,1670.11,1670.12,187.73327
2023-08-21 21:15:00,1670.12,1671.08,1669.48,1671.07,164.37808
2023-08-21 21:30:00,1671.07,1675.98,1671.07,1673.07,451.85374
2023-08-21 21:45:00,1673.07,1673.75,1672.55,1673.75,151.65146
2023-08-21 22:00:00,1673.75,1673.75,1672.01,1672.13,435.10216
2023-08-21 22:15:00,1672.13,1672.45,1670.25,1670.42,277.71549
2023-08-21 22:30:00,1670.42,1671.0,1669.2,1669.29,447.50715
2023-08-21 22:45:00,1669.29,1670.0,1667.07,1667.07,401.59151
2023-08-21 23:00:00,1667.07,1668.2,1666.45,1668.0,132.53101
2023-08-21 23:15:00,1668.0,1669.4,1666.6,1666.6,161.80169
2023-08-21 23:30:00,1666.6,1667.99,1666.6,1667.99,120.19213
2023-08-21 23:45:00,1667.99,1668.67,1667.03,1667.59,176.23317
2023-08-22 00:00:00,1667.59,1669.19,1667.41,1668.01,372.77471
2023-08-22 00:15:00,1668.01,1668.17,1666.8,1666.81,137.6196
2023-08-22 00:30:00,1666.81,1668.76,1666.81,1667.35,69.59824
2023-08-22 00:45:00,1667.35,1669.38,1667.0,1667.0,109.02523
2023-08-22 01:00:00,1667.0,1667.4,1664.58,1665.13,305.21237
2023-08-22 01:15:00,1665.13,1667.8,1664.71,1664.72,276.04954
2023-08-22 01:30:00,1664.72,1666.4,1664.01,1664.55,267.24639
2023-08-22 01:45:00,1664.55,1665.18,1663.04,1663.37,248.1348
2023-08-22 02:00:00,1663.37,1664.9,1663.03,1664.89,238.7624
2023-08-22 02:15:00,1664.89,1667.19,1664.89,1666.5,187.47209
2023-08-22 02:30:00,1666.5,1667.4,1665.81,1666.61,216.11209
2023-08-22 02:45:00,1666.61,1666.61,1663.81,1665.0,202.64629
2023-08-22 03:00:00,1665.0,1665.1,1663.83,1663.84,136.42586
2023-08-22 03:15:00,1663.84,1665.54,1662.76,1662.76,186.1764
2023-08-22 03:30:00,1662.76,1663.64,1661.54,1663.19,161.05438
2023-08-22 03:45:00,1663.19,1664.2,1663.18,1664.01,40.78654
2023-08-22 04:00:00,1664.01,1664.1,1663.15,1663.15,93.01068
2023-08-22 04:15:00,1663.15,1663.35,1662.82,1662.97,49.67644
2023-08-22 04:30:00,1662.97,1663.16,1661.52,1662.19,88.23665
2023-08-22 04:45:00,1662.19,1662.9,1661.02,1662.39,295.02221
2023-08-22 05:00:00,1662.39,1663.8,1662.27,1663.79,66.56674
2023-08-22 05:15:00,1663.79,1664.11,1661.43,1663.38,175.79638
2023-08-22 05:30:00,1663.38,1663.8,1662.1,1662.81,97.15065
2023-08-22 05:45:00,1662.81,1663.8,1662.08,1663.8,46.78309
2023-08-22 06:00:00,1663.8,1664.0,1662.43,1663.81,152.82627
2023-08-22 06:15:00,1663.81,1665.77,1662.42,1663.24,176.35974
2023-08-22 06:30:00,1663.24,1663.57,1661.24,1661.62,101.5657
2023-08-22 06:45:00,1661.62,1665.09,1661.62,1665.09,151.73734
2023-08-22 07:00:00,1665.09,1665.67,1664.49,1665.21,183.74535
2023-08-22 07:15:00,1665.21,1666.36,1664.6,1665.0,281.07113
2023-08-22 07:30:00,1665.0,1666.8,1664.62,1666.8,99.72365
2023-08-22 07:45:00,1666.8,1667.0,1665.89,1666.58,63.84574
2023-08-22 08:00:00,1666.58,1667.51,1666.0,1666.4,193.2365
2023-08-22 08:15:00,1666.4,1666.41,1665.0,1665.82,319.06827
2023-08-22 08:30:00,1665.82,1666.0,1664.4,1665.07,239.45918
2023-08-22 08:45:00,1665.07,1665.65,1664.01,1664.99,176.0403
2023-08-22 09:00:00,1664.99,1665.4,1664.53,1665.11,116.99646
